ID,ACH Exponetial Fit,R Sqaure Exponetial Fit,ACH Linear Fit,R Square Linear Fit,Date,Diff ACH,length,slice index
10,5.295956637,0.927298025,2.645201179,0.956106907,1/12/2023,2.650755458,114,70
10,4.556049002,0.937978234,2.619317424,0.977560413,2/9/2023,1.936731579,103,79
10,9.130764192,0.886301653,2.598088937,0.956803518,5/18/2023,6.532675255,122,84
14,6.773948699,0.873092619,3.317544925,0.920233031,1/12/2023,3.456403775,69,44
14,23.70376456,0.937421635,26.24935493,0.919707818,1/26/2023,2.545590375,104,2
14,3.750621039,0.8946957,2.422837128,0.925937283,11/28/2023,1.327783912,51,50
14,6.772318061,0.916856861,3.066939455,0.918180761,2/23/2023,3.705378606,56,55
14,4.923410952,0.930872199,3.541809153,0.969897087,2/9/2023,1.381601799,63,43
14,11.31946581,0.931450889,3.883533866,0.918691351,3/23/2023,7.435931947,67,53
14,5.508509273,0.937390944,3.196531867,0.946169032,4/6/2023,2.311977407,150,75
14,15.93167805,0.823862942,2.433031185,0.902080715,5/11/2023,13.49864686,112,76
14,5.6620921,0.891852633,2.785412277,0.962780366,5/4/2023,2.876679822,92,69
16,2.96365265,0.61523703,2.174982932,0.689012367,12/11/2022,0.788669718,51,25
16,3.592809893,0.970603005,2.388332163,0.943990877,3/9/2023,1.20447773,96,65
16,4.47710668,0.98344987,3.447548486,0.965130124,4/7/2023,1.029558194,60,45
16,4.204846255,0.984160409,2.749200798,0.936291878,5/11/2023,1.455645457,75,65
16,4.277823334,0.979812072,2.615195663,0.939615274,5/18/2023,1.662627671,95,70
16,4.523657745,0.974258088,3.160820691,0.945606769,5/4/2023,1.362837054,71,51
19,0.256992753,0.682936126,0.240375216,0.662211736,12/11/2022,0.016617537,447,82
22,4.814874706,0.990588482,3.641830381,0.965529675,4/6/2023,1.173044325,63,52
22,5.049953234,0.988315944,4.01380155,0.963728197,4/27/2023,1.036151684,70,42
22,5.122326948,0.995933261,3.788095008,0.959170421,5/18/2023,1.33423194,80,68
33,10.22110465,0.971942272,8.539501078,0.957220794,1/12/2023,1.681603575,22,21
33,1.428889385,0.897905625,1.040466863,0.890556319,12/18/2022,0.388422522,205,89
33,5.722906493,0.937322736,4.190862163,0.96300204,2/9/2023,1.53204433,53,35
33,7.167288391,0.902596127,8.919310167,0.892009227,3/23/2023,1.752021776,84,11
33,4.103370945,0.970489467,2.869621366,0.977833674,4/20/2023,1.233749579,138,63
33,3.843951551,0.963573725,2.514685597,0.980810379,5/11/2023,1.329265953,136,90
34,3.90111671,0.980509071,2.702140264,0.987486015,2/23/2023,1.198976446,125,94
34,6.862724363,0.805921375,3.959214135,0.709591492,4/20/2023,2.903510228,25,24
34,5.924378548,0.94716993,3.33365187,0.905201919,5/18/2023,2.590726678,168,46
40,20.55355627,0.699644511,38.41829305,0.732086549,4/7/2023,17.86473678,111,3
41,13.13793988,0.878100928,13.23821251,0.87068532,4/20/2023,0.100272629,1037,3
42,10.64699236,0.892042035,10.12805029,0.862929174,2/3/2023,0.518942066,141,2
42,1.060224239,0.644151431,0.959851909,0.659345447,5/4/2023,0.10037233,54,27
43,19.55110127,0.870600638,22.57719979,0.898176259,4/7/2023,3.026098514,95,5
43,1.544698511,0.769889915,0.770735745,0.694307114,5/18/2023,0.773962766,495,126
44,0.3172892,0.826275707,0.368111393,0.818000654,2/23/2023,0.050822193,128,127
44,2.7358995,0.783686001,1.894459926,0.886040091,4/7/2023,0.841439573,123,52
44,21.2689768,0.933372143,19.67672151,0.891779216,5/4/2023,1.592255288,3,2
45,3.655889614,0.851992858,4.02259066,0.815294108,5/4/2023,0.366701046,19,11
46,1.130202985,0.533407815,1.126883911,0.527376756,4/20/2023,0.003319074,805,10
46,0.42978396,0.580820337,0.40322497,0.68907466,5/11/2023,0.02655899,868,95
46,0.615977325,0.890608135,0.629265985,0.875042722,5/18/2023,0.013288659,629,116
47,1.118808922,0.551356416,0.461091019,0.7893387,5/11/2023,0.657717903,619,214
