Classroom,ID,Bs PM-1,Dec PM-1,Jan PM-1,Feb PM-1,Mar PM-1,Apr PM-1,May PM-1,Bs PM-25,Dec PM-25,Jan PM-25,Feb PM-25,Mar PM-25,Apr PM-25,May PM-25,Bs PM-10,Dec PM-10,Jan PM-10,Feb PM-10,Mar PM-10,Apr PM-10,May PM-10,all PM-1,all PM-25,all PM-10,BS2 PM-1,BS2 PM-25,BS2 PM-10
214,39,1.968826445,0.762771551,0.561838814,0.833898684,0.784586982,1.028324174,1.293001744,5.566145409,1.839950228,1.297988458,1.73991,1.400785906,2.122213666,2.335466952,100.2122801,30.08026984,19.46752355,16.36341382,12.77921697,18.52462437,23.22100618,0.885401694,1.797807276,19.32842218,1.211427639,2.651667853,31.4657159
410,40,2.23510049,0.987741193,0.787776687,1.024133613,1.235345586,1.47868857,1.599647317,12.11543071,5.970988352,5.068986361,7.582936595,8.447700121,9.214722253,8.308396895,281.0466696,155.0100953,131.0287843,199.6555843,194.7789308,180.1106734,183.9143291,1.20684007,7.571915105,175.6775864,1.773371069,10.74455206,240.1561321
419,41,1.447769604,0,0,0.665413856,1.072321429,1.162103826,1.325956206,7.255903965,0,0,2.68544125,3.610655882,5.129591776,3.780564743,171.0373863,0,0,75.90277134,87.44460252,119.4460386,91.60872806,1.096766913,4.034710146,97.97889772,1.547833333,6.374540351,183.5259275
435,42,7.801089474,0,0,0.638908166,0.728610034,1.123716684,1.656916021,13.91629737,0,0,2.612112644,2.99776933,3.720241521,3.740172387,127.7143421,0,0,59.99749514,59.18361598,59.54597716,48.3318662,1.110887325,3.396430546,56.53707981,1.563768421,4.186575439,62.82106374
211,43,2.588620053,0,0,1.461283111,1.413334452,1.319977169,1.594626382,4.295332014,0,0,2.977249333,3.575854687,4.031999772,3.818789415,35.05007476,0,0,34.91116178,63.79960327,75.00869566,77.34482559,1.433129676,3.765223077,69.17903759,1.583800585,4.557719298,87.78117836
203,44,1.790088546,0,0,0.349746869,0.33956048,0.495728971,0.789469354,4.500595595,0,0,1.258605689,1.469380131,1.833221728,1.934691227,90.46038502,0,0,43.61416388,48.83392642,48.75667827,50.52097638,0.518265592,1.687525364,48.36836297,0.672813954,2.164680978,55.82711986
425,45,1.575583297,0,0,0.594154974,0.901848862,0.99043695,1.230696126,6.446864176,0,0,1.947836679,2.87561973,2.954845204,3.105496285,161.2408207,0,0,45.86253102,74.24825632,50.50369315,59.03358704,0.963329003,2.794548023,56.52544723,1.185081287,3.308890058,70.23391813
210,46,1.635271491,0,0,0.387706254,0.41453304,0.701899795,1.0185703,8.550965351,0,0,2.422725672,2.772808265,4.069460829,4.869278831,154.7462404,0,0,76.18273335,76.40505349,92.87188852,111.5156403,0.670761231,3.723414884,91.45676913,0.811527485,4.760706433,113.787286
403,47,2.971766667,0,0,0.557973874,1.03647167,1.241622616,1.553331332,16.53218114,0,0,3.670488964,6.088946089,6.705946431,7.609719545,253.109139,0,0,99.88839234,136.1591078,125.3326031,149.3795416,1.157803043,6.265777274,129.0610663,1.66857193,8.984751462,173.6964257
413,48,1.919152088,0,0,0.57012939,0.837581769,0.958958899,1.185288977,13.64635956,0,0,5.114429413,6.916051896,7.099394451,6.695821729,254.9907859,0,0,161.3923419,178.6637597,148.2015003,128.7717264,0.921600105,6.602953642,152.0389179,1.171860234,7.06811462,147.251424
421,49,0.855881523,0,0,0.807282667,1.18546618,1.487357029,1.848200158,2.58642031,0,0,2.547713333,3.552239816,4.087730171,4.553735867,60.3073465,0,0,68.02189156,87.70540277,63.40936091,83.14799319,1.450833074,3.940791865,75.02018993,1.749743109,4.654337243,88.38657067
423,50,0.695190868,0,0,0.741464254,1.076878438,1.321653227,1.669543128,1.867522831,0,0,2.041455764,3.86134045,3.88658458,3.704091311,41.61669863,0,0,42.7492328,86.33828102,53.8433462,58.74953096,1.30527351,3.646116375,61.62101647,1.511722807,4.443963158,84.50819532
