Local Date/Time,PM2.5 avg,0.3um particle count,CO2 (ppm),Temperature (°C),Heat Index (°C),Humidity (%)
7/12/2023 17:30,1,361,394,24.4,24.1,49
7/12/2023 17:25,0,214,469,24.4,24.2,48
7/12/2023 17:20,0,105,470,24.4,24.1,48
7/12/2023 17:15,0,470,423,24.4,24.1,48
7/12/2023 17:10,1,361,467,24.4,24.1,49
7/12/2023 17:05,0,196,397,24.4,24.1,48
7/12/2023 17:00,1,288,397,24.4,24.2,48
7/12/2023 16:55,2,544,397,24.4,24.2,49
7/12/2023 16:50,2,544,399,24.4,24.2,49
7/12/2023 16:45,1,379,399,24.4,24.2,49
7/12/2023 16:40,1,470,401,24.4,24.1,48
7/12/2023 16:35,1,324,402,24.4,24.2,49
7/12/2023 16:30,2,544,400,24.4,24.2,49
7/12/2023 16:25,2,946,392,24.4,24.2,49
7/12/2023 16:20,2,708,402,24.5,24.2,48
7/12/2023 16:15,2,726,408,24.4,24.2,49
7/12/2023 16:10,5,1421,410,24.4,24.2,48
7/12/2023 16:05,4,1385,407,24.5,24.2,48
7/12/2023 16:00,6,1604,410,24.5,24.3,48
7/12/2023 15:55,9,2336,410,24.5,24.2,49
7/12/2023 15:50,10,3012,412,24.5,24.2,48
7/12/2023 15:45,24,6248,415,24.5,24.3,48
7/12/2023 15:40,32,10125,429,24.6,24.3,48
7/12/2023 15:35,42,13179,420,24.6,24.3,48
7/12/2023 15:30,90,25357,418,24.5,24.3,49
7/12/2023 15:25,113,31373,442,24.5,24.3,49
7/12/2023 15:20,113,30349,418,24.6,24.3,49
7/12/2023 15:15,120,32580,420,24.6,24.3,49
7/12/2023 15:10,139,37078,422,24.6,24.4,50
7/12/2023 15:05,110,30276,424,24.6,24.4,49
7/12/2023 15:00,116,31538,424,24.6,24.5,49
7/12/2023 14:55,123,33092,424,24.6,24.4,49
7/12/2023 14:50,102,27808,426,24.6,24.4,49
7/12/2023 14:45,110,29582,426,24.6,24.4,49
7/12/2023 14:40,115,30130,427,24.6,24.5,50
7/12/2023 14:35,73,20182,426,24.7,24.5,49
7/12/2023 14:30,26,8169,427,24.6,24.4,49
7/12/2023 14:25,2,726,430,24.7,24.4,48
7/12/2023 14:20,2,690,430,24.7,24.5,48
7/12/2023 14:15,3,800,431,24.7,24.5,48
7/12/2023 14:10,1,361,424,24.7,24.5,48
7/12/2023 14:05,5,1403,425,24.7,24.5,48
7/12/2023 14:00,8,2262,426,24.7,24.5,48
7/12/2023 13:55,9,2409,431,24.8,24.6,49
7/12/2023 13:50,14,3982,432,24.7,24.5,48
7/12/2023 13:45,26,7364,428,24.7,24.5,48
7/12/2023 13:40,36,11040,430,24.7,24.5,48
7/12/2023 13:35,58,17860,428,24.7,24.5,49
7/12/2023 13:30,106,28758,430,24.6,24.4,49
7/12/2023 13:25,109,29837,432,24.6,24.4,50
7/12/2023 13:20,104,28155,434,24.6,24.3,49
7/12/2023 13:15,73,20110,436,24.6,24.3,49
7/12/2023 13:10,51,16781,429,24.6,24.4,49
7/12/2023 13:05,34,10290,450,24.6,24.4,49
7/12/2023 13:00,0,160,469,24.7,24.5,49
7/12/2023 12:55,1,288,460,24.8,24.6,48
