Classroom,,Good,Moderate,Unhealthy,Unhealthy Sensitive,Very Unhealthy,Hazardous
214,,85.92456,13.20147,0.045998,0.827967,0,0
435,,70.22831,25.06849,0.639269,3.881279,0.045662,0.136986
203,,65.33269,31.34041,0.192864,3.134041,0,0
425,,59.49657,32.58581,1.510297,6.086957,0.1373,0.183066
423,,46.11872,36.621,5.479452,9.223744,1.780822,0.776256
211,,40.27397,45.11416,2.922374,10.59361,0.730594,0.365297
421,,37.06422,39.81651,5.59633,14.86239,1.697248,0.963303
210,,36.43836,38.72146,5.296804,16.57534,1.689498,1.278539
413,,31.2844,39.86239,6.697248,16.14679,2.614679,3.394495
419,,29.49772,39.13242,8.995434,18.17352,2.328767,1.872146
403,,27.26027,32.37443,8.721461,24.42922,3.059361,4.155251
410,,20,30.14019,10.98131,29.01869,3.504673,6.35514
